Growth Rate $(\mu m / min)$,Growth Rate $(\mu m / min)$,[Tubulin] $(\mu M)$,DCX Type,[DCX] $(n M)$,[EB] $(n M)$,Time to Nucleate $(min)$,Lifetime $(min)$,Lifetime $(min)$,Lifetime $(min)$,Shrink Rate $(\mu m / min)$,Shrink Rate $(\mu m / min)$
Mean,Coefficient 1,,,,,Mean,Coefficient 0,Coefficient 1,Mean,Mean,Coefficient 1
0.3221305016776609,0.05347266370301544,6,WT,0,0,12.312598034884129,12.282307977409019,0.16257994166680106,1.9968569145008437,4.581672156215207,1.3333506378562354
0.008361201703340062,0.006841107059639278,6,WT,0,0,4.538323731300295,1.895647297012635,0.028505141024810426,0.6583031479753415,0.3849493382068322,0.3143216556019967
1.1349797782175304,0.1451503104972606,6,WT,0,20,12.23067231700961,1.5258509645082408,1.0465559922881602,1.5968884702447683,11.156075636107389,1.9593896614942097
0.013839360763080335,0.011370732914279197,6,WT,0,20,2.4941470068931872,0.27267458841135234,0.17006974598994934,0.5448703103990442,0.558083912105121,0.46287607357618477
0.22393844721636136,0.041352866544421066,6,WT,60,0,4.563965752838603,19.528245512273276,1.044977336010465,20.406573972373646,1.182502025033535,0.20099941950189235
0.001399756776825441,0.0012375192738326851,6,WT,60,0,0.8354634357951983,7.61962185270052,0.4199412703958934,16.163048374069056,0.008544685933060491,0.006976706941726529
0.9137335829984633,0.20851965374368484,6,WT,60,20,23.98617824755067,1.8812941729648325,0.5474402956978928,1.0298962383425905,4.015542150188643,1.3938417528678824
0.025770850991803523,0.02108058973194453,6,WT,60,20,5.606422209889616,0.30672517283470463,0.11286094485593083,0.3802383572273859,0.15984011985415716,0.1306028336249512
