Date,Investigator,CH,[Tubulin] $(\mu M)$,[DCX] $(n M)$,Length $(\mu m)$,Lifetime $(min)$,Growth Rate $(\mu m / min)$,Time to Nucleate $(min)$,Shrink Length $(\mu m)$,Shrink Lifetime $(min)$,Shrink Rate $(\mu m / min)$,Rescues,DCX Type
2020-07-03,Sofia,22,6.0,0.0,0.428,5.197666666666667,0.08234464182646059,22.732805582205447,0.7490000000000001,0.08383333333333334,8.934393638170974,False,None
2020-07-03,Sofia,22,6.0,0.0,0.7490000000000001,2.3473333333333333,0.3190854870775348,1.8583055822054544,0.7490000000000001,0.08383333333333334,8.934393638170974,False,None
2020-07-03,Sofia,22,6.0,0.0,0.214,1.509,0.14181577203445989,5.211638915538788,0.428,0.08383333333333334,5.105367793240557,False,None
2020-07-03,Sofia,22,6.0,0.0,0.321,1.0898333333333334,0.2945404496100321,10.409305582205457,0.428,,,False,None
2020-07-03,Sofia,22,6.0,0.0,0.428,0.9221666666666668,0.4641243448400506,4.373305582205456,0.535,0.08383333333333334,6.381709741550696,False,None
2020-07-03,Sofia,22,6.0,0.0,0.321,1.509,0.21272365805168986,8.732638915538786,0.428,0.08383333333333334,5.105367793240557,False,None
2020-07-03,Sofia,22,6.0,0.0,0.642,2.7665,0.2320621724200253,2.5289722488721216,0.7490000000000001,0.08383333333333334,8.934393638170974,False,None
2020-07-03,Sofia,22,6.0,0.0,0.321,0.9221666666666668,0.3480932586300379,9.403305582205457,0.428,0.08383333333333334,5.105367793240557,False,None
2020-07-03,Sofia,22,6.0,0.0,0.321,1.0898333333333334,0.2945404496100321,1.4391389155387881,0.428,0.08383333333333334,5.105367793240557,False,None
2020-07-03,Sofia,22,6.0,0.0,0.7490000000000001,2.3473333333333333,0.3190854870775348,1.2714722488721213,0.7490000000000001,0.16766666666666669,4.467196819085487,False,None
2020-07-03,Sofia,22,6.0,0.0,0.7490000000000001,2.095833333333333,0.357375745526839,1.7744722488721214,0.856,0.08383333333333334,10.210735586481114,False,None
2020-07-08,Sofia,12,14.0,0.0,23.647,17.8565,1.3242796740682663,0.9640833333333334,23.647,1.006,23.505964214711728,False,None
2020-07-08,Sofia,12,14.0,0.0,1.07,1.0898333333333334,0.981801498700107,4.485083333333334,1.177,0.08383333333333334,14.039761431411526,False,None
2020-07-08,Sofia,12,14.0,0.0,14.338,10.562999999999999,1.3573795323298303,6.916250000000002,14.873,0.9221666666666668,16.128320983191756,True,None
2020-07-08,Sofia,12,14.0,0.0,17.227,15.928333333333335,1.081531861462802,2.053916666666667,17.548,0.5868333333333333,29.90286850326612,False,None
2020-07-08,Sofia,12,14.0,0.0,26.322,23.30566666666667,1.1294248895118495,0.9640833333333334,26.643,1.006,26.48409542743539,False,None
